Title,anger,disgust,fear,joy,neutral,sadness,surprise,URL
Rumour Has It,0.7499009966850281,0.3194398581981659,0.8195464611053467,0.0,0.3897222876548767,0.0,0.46145156025886536,https://www.youtube.com/watch?v=C1G3jmtoOfk&pp=ygUNcnVtb3VyIGhhcyBpdNIHCQnDCgGHKiGM7w%3D%3D
Turning Tables,0.0,0.0,0.0,0.0,0.33863717317581177,0.5313311815261841,0.0,https://www.youtube.com/watch?v=3SojhAemf34&pp=ygUOdHVybmluZyB0YWJsZXM%3D
Don't You Remember,0.5682830363512039,0.0,0.0,0.0,0.4323498159646988,0.0,0.0,https://www.youtube.com/watch?v=tQw1_sX9ipc&pp=ygUSZG9uJ3QgeW91IHJlbWVtYmVy
Set Fire to the Rain,0.45334582030773163,0.0,0.5920939147472382,0.0,0.5208023190498352,0.9595047831535339,0.0,https://www.youtube.com/watch?v=a2giXO6eyuI&pp=ygUUc2V0IGZpcmUgb24gdGhlIHJhaW4%3D
He Won't Go,0.0,0.0,0.6309346258640289,0.8822793364524841,0.5357344076037407,0.29379960894584656,0.0,https://www.youtube.com/watch?v=IlFL5QykQaE&pp=ygULaGUgd3dvbnQgZ28%3D
Take It All,0.4457059383392334,0.0,0.0,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=UHE7qT9f3Ok&pp=ygULdGFrZSBpdCBhbGw%3D
I'll Be Waiting,0.0,0.0,0.7243264988064766,0.0,0.3404836058616638,0.6396488845348358,0.0,https://www.youtube.com/watch?v=qCCbvS9clVY&pp=ygUVaSdsbCBiZSB3YWl0aW5nIGFkZWxl
One And Only,0.0,0.0,0.9890247881412506,0.3716597259044647,0.4152986705303192,0.0,0.0,https://www.youtube.com/watch?v=dJg4_rL9h7Q&pp=ygUMb25lIGFuZCBvbmx5
Lovesong,0.0,0.0,0.0,0.7297532260417938,0.0,0.9749220609664917,0.0,https://www.youtube.com/watch?v=SCr2nU3CLzE&pp=ygUPbG92ZSBzb25nIGFkZWxl
Adele - Someone Like You (Official Music Video),0.0,0.0,0.847288966178894,0.0,0.42565250396728516,0.7679842412471771,0.0,https://www.youtube.com/watch?v=hLQl3WQQoQ0&pp=ygUQc29tZW9uZSBsaWtlIHlvdQ%3D%3D
Don't Stay - Linkin Park (Meteora),0.4117043912410736,0.0,0.9652891755104065,0.0,0.7462816834449768,0.0,0.7991809844970703,https://www.youtube.com/watch?v=oWfGOVWrueo&pp=ygUZZG9uJ3Qgc3RheSAtIGxpbmtpbmcgcGFyaw%3D%3D
Somewhere I Belong (Official Music Video) [4K UPGRADE] – Linkin Park,0.0,0.0,0.736039400100708,0.0,0.0,0.8360026359558106,0.8360273241996765,https://www.youtube.com/watch?v=zsCD5XCu6CM&pp=ygU1c29tZXdoZXJlIGkgYmVsb25nIG9mZmljaWFsIG11c2ljIHZpZGVvIC0gbGlua2luIHBhcms%3D
